SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,MonthlyIncome_NA,NumberOfDependents_NA,TotalPastDueEvents,HasDependents,HasRealEstateLoan,HighRevolvingUtilization,DebtRatioAboveOne,IncomePerDependent,ApproxMonthlyDebt,LogMonthlyIncome
0,0.070853769,55,0,0.073147745,13793.0,4,0,1,0,0.0,0,0,0,0,1,0,0,13793.0,1008.926846785,9.531988993991236
0,0.454971915,46,1,0.016921775,13000.0,10,0,0,0,1.0,0,0,1,1,0,0,0,6500.0,219.983075,9.472781556562168
0,0.401199782,64,0,0.351258937,3216.0,4,0,1,0,0.0,0,0,0,0,1,0,0,3216.0,1129.648741392,8.076204527239026
0,0.541108804,43,0,2477.0,0.0,3,0,1,0,2.0,1,0,0,1,1,0,1,0.0,0.0,0.0
0,0.655569945,35,0,0.261609907,5813.0,10,0,0,0,2.0,0,0,0,1,0,0,0,1937.6666666666667,1520.7383893909998,8.668024081118821
0,0.651603452,58,0,0.241135663,7783.0,11,0,1,0,0.0,0,0,0,0,1,0,0,7783.0,1876.758865129,8.959825623865841
0,0.027399502,69,0,0.00803428,5600.0,3,0,0,0,0.0,0,0,0,0,0,0,0,5600.0,44.991968,8.630700432209832
0,0.101155821,72,0,1720.0,0.0,12,0,2,0,0.0,1,0,0,0,1,0,1,0.0,0.0,0.0
0,0.009788862,46,0,1.051397656,3326.0,6,0,2,0,2.0,0,0,0,1,1,0,1,1108.6666666666667,3496.948603856,8.109826276018477
0,0.337520702,60,0,0.549877805,4500.0,10,0,2,0,0.0,0,0,0,0,1,0,0,4500.0,2474.4501225000004,8.412054873292933
0,0.0,67,0,0.540983607,3720.0,2,0,1,0,0.0,0,0,0,0,1,0,0,3720.0,2012.45901804,8.221747728346623
0,0.750873672,55,2,0.316416365,7723.0,17,0,1,0,1.0,0,0,2,1,1,0,0,3861.5,2443.683586895,8.952087643548404
0,0.006799093,27,1,0.681045752,764.0,3,0,0,0,0.0,0,0,1,0,0,0,0,764.0,520.318954528,6.639875833826536
0,0.004264079,31,0,0.111444278,2000.0,6,1,0,0,2.0,0,0,1,1,0,0,0,666.6666666666666,222.888556,7.601402334583733
0,0.26948375,64,0,0.16106176,9455.0,13,0,1,0,3.0,0,0,0,1,1,0,0,2363.75,1522.8389408,9.15440473964588
0,0.265898391,36,0,0.262611807,8384.0,6,0,2,0,1.0,0,0,0,1,1,0,0,4192.0,2201.737389888,9.034199674257309
0,0.142013011,67,0,1824.0,0.0,7,0,2,0,0.0,1,0,0,0,1,0,1,0.0,0.0,0.0
0,0.827708197,56,0,0.369590815,6793.0,15,1,1,0,0.0,0,0,1,0,1,0,0,6793.0,2510.6304062950003,8.82379514872053
0,0.059668871,31,0,3162.0,0.0,11,0,2,0,1.0,0,0,0,1,1,0,1,0.0,0.0,0.0
1,0.13306279,49,1,0.182881653,10257.0,9,0,2,0,3.0,0,0,1,1,1,0,0,2564.25,1875.817114821,9.235813167949214
0,0.234218112,36,0,0.116614347,8600.0,19,0,0,0,3.0,0,0,0,1,0,0,0,2150.0,1002.8833842,9.05963375455148
0,0.122295933,29,0,0.694646949,4800.0,5,0,1,0,0.0,0,0,0,0,1,0,0,4800.0,3334.3053552,8.476579508530941
0,0.460376317,37,0,0.074155949,4975.0,6,0,0,0,0.0,0,0,0,0,0,0,0,4975.0,368.925846275,8.512381634419015
0,0.335558577,69,0,0.270448637,15000.0,14,0,2,0,1.0,0,0,0,1,1,0,0,7500.0,4056.729555,9.61587214452889
0,0.270522569,41,0,2.797698945,1042.0,11,0,2,0,2.0,0,0,0,1,1,0,1,347.3333333333333,2915.20230069,6.949856455000773
0,0.183316667,52,0,0.111131623,10833.0,14,0,2,0,1.0,0,0,0,1,1,0,0,5416.5,1203.888871959,9.290444616217844
0,0.074861676,66,0,0.208842479,4500.0,3,0,1,0,0.0,0,0,0,0,1,0,0,4500.0,939.7911555,8.412054873292933
0,0.017258977,53,0,2.604510673,12414.0,13,0,1,0,2.0,0,0,0,1,1,0,1,4138.0,32332.395494622,9.426660697942268
0,0.054497069,56,0,0.492021814,4950.0,18,0,2,0,0.0,0,0,0,0,1,0,0,4950.0,2435.5079793,8.507344855361422
0,0.029164236,31,0,0.395031809,3300.0,10,0,1,0,0.0,0,0,0,0,1,0,0,3300.0,1303.6049697,8.101980731853192
0,0.0,58,0,0.316144874,4886.0,9,0,1,0,1.0,0,0,0,1,1,0,0,2443.0,1544.683854364,8.494333897270154
0,0.360509632,58,1,3282.0,0.0,8,0,2,0,0.0,1,0,1,0,1,0,1,0.0,0.0,0.0
0,0.003749688,64,0,0.004061231,3200.0,5,0,0,1,0.0,0,0,1,0,0,0,0,3200.0,12.9959392,8.071218539969863
1,0.734477501,45,0,0.591477634,4716.0,13,0,2,0,2.0,0,0,0,1,1,0,0,1572.0,2789.408521944,8.458928283284262
0,0.080564168,60,0,0.487288997,4916.0,15,0,2,0,0.0,0,0,0,0,1,0,0,4916.0,2395.512709252,8.50045386741194
0,0.039387786,51,0,15466.0,0.0,7,0,0,0,0.0,0,0,0,0,0,0,1,0.0,0.0,0.0
0,0.023767433,83,0,0.123797734,10500.0,13,0,0,0,0.0,0,0,0,0,0,0,0,10500.0,1299.876207,9.259225769705994
0,0.784835658,52,0,2662.0,0.0,10,0,2,1,0.0,1,0,1,0,1,0,1,0.0,0.0,0.0
0,0.888822236,34,0,0.368403802,3050.0,4,0,0,0,1.0,0,0,0,1,0,0,0,1525.0,1123.6315961,8.02322468471667
0,0.791173628,44,0,0.51241535,3100.0,5,0,1,0,0.0,0,0,0,0,1,0,0,3100.0,1588.487585,8.03947991910045
0,0.24535301,37,0,0.288417167,6500.0,11,1,1,1,0.0,0,0,2,0,1,0,0,6500.0,1874.7115855,8.77971129020447
0,0.542242704,48,2,10.0,13.669293209458136,2,0,0,0,0.0,1,1,2,0,0,0,1,13.669293209458136,136.69293209458135,2.685756411679856
0,0.010531379,57,0,0.280664917,5714.0,6,0,1,0,0.0,0,0,0,0,1,0,0,5714.0,1603.7193357380002,8.65084957622891
0,0.363199686,32,0,0.480523957,2900.0,4,0,1,0,0.0,0,0,0,0,1,0,0,2900.0,1393.5194753,7.972810784121404
0,0.032617977,75,0,0.006799093,7500.0,4,0,0,0,0.0,0,0,0,0,0,0,0,7500.0,50.9931975,8.922791623969637
0,0.013024674,61,0,15.0,0.0,4,0,0,0,0.0,1,0,0,0,0,0,1,0.0,0.0,0.0
0,0.019387779,34,0,0.32591852,4000.0,9,0,1,0,0.0,0,0,0,0,1,0,0,4000.0,1303.67408,8.294299608857235
0,0.634485057,52,0,0.138238573,2690.0,2,0,0,0,0.0,0,0,0,0,0,0,0,2690.0,371.86176137,7.897668150726906
0,0.888008615,44,0,0.299246282,4908.0,8,0,0,0,1.0,0,0,0,1,0,0,0,2454.0,1468.7007520559998,8.498825534058053
0,0.003108849,57,0,0.258939285,8333.0,7,0,1,0,0.0,0,0,0,0,1,0,0,8333.0,2157.741061905,9.0280988119824
0,0.114830941,46,0,0.026235802,6250.0,6,0,0,0,3.0,0,0,0,1,0,0,0,1562.5,163.9737625,8.740496729931813
0,0.018886792,80,0,0.003478779,10060.0,5,0,0,0,0.0,0,0,0,0,0,0,0,10060.0,34.99651674,9.21642184229205
0,0.635415157,32,0,0.519493502,3000.0,4,0,1,0,1.0,0,0,0,1,1,0,0,1500.0,1558.480506,8.006700845440367
0,0.9999999,62,0,0.664221287,8314.0,8,0,3,0,0.0,0,0,0,0,1,0,0,8314.0,5522.335780118,9.025816391627028
0,0.041257909,61,0,4739.0,0.0,11,0,4,0,0.0,1,1,0,0,1,0,1,0.0,0.0,0.0
0,0.096737158,47,0,0.009748781,8000.0,2,0,0,0,2.0,0,0,0,1,0,0,0,2666.6666666666665,77.990248,8.987321812850125
0,0.31844615,58,0,1.382629108,3833.0,26,0,4,0,0.0,0,0,0,0,1,0,1,3833.0,5299.617370964,8.251663923605589
0,0.186987534,52,0,0.023993145,3500.0,4,0,0,0,0.0,0,0,0,0,0,0,0,3500.0,83.97600750000001,8.160803920954665
0,0.006541851,68,0,0.108089191,10000.0,10,0,2,0,1.0,0,0,0,1,1,0,0,5000.0,1080.89191,9.210440366976515
0,0.180972181,39,1,0.384441575,3097.0,7,0,1,0,3.0,0,0,1,1,1,0,0,774.25,1190.6155577749998,8.038512020976814
0,0.00750765,74,0,7.0,5.778599200295798,4,0,0,0,0.0,1,0,0,0,0,0,1,5.778599200295798,40.450194402070586,1.91377047298002
0,0.06790706,46,0,0.149103029,10200.0,6,0,2,0,0.0,0,0,0,0,1,0,0,10200.0,1520.8508958,9.23024103368252
0,0.033461782,44,0,1.243362832,4067.0,5,0,2,0,1.0,0,0,0,1,1,0,1,2033.5,5056.756637744001,8.31090675716845
0,0.007520592,68,0,269.0,0.0,4,0,0,0,0.0,1,0,0,0,0,0,1,0.0,0.0,0.0
0,0.015271802,68,0,0.12290366,8168.0,6,0,0,0,0.0,0,0,0,0,0,0,0,8168.0,1003.87709488,9.00810178134187
0,0.51712072,31,0,0.123752495,500.0,3,0,0,0,0.0,0,0,0,0,0,0,0,500.0,61.876247500000005,6.2166061010848646
0,0.317975796,34,0,0.297933792,4500.0,11,0,2,0,0.0,0,0,0,0,1,0,0,4500.0,1340.7020639999998,8.412054873292933
0,0.297594642,67,0,0.239507959,4145.0,13,0,0,0,0.0,0,0,0,0,0,0,0,4145.0,992.760490055,8.329899292995725
0,0.444837661,58,0,0.366545247,14000.0,9,0,2,1,4.0,0,0,1,1,1,0,0,2800.0,5131.633458,9.546884034617923
0,0.277956679,39,0,4090.0,0.0,9,0,2,0,0.0,1,0,0,0,1,0,1,0.0,0.0,0.0
0,0.003722015,58,0,0.63332301,3228.0,5,0,1,0,0.0,0,0,0,0,1,0,0,3228.0,2044.36667628,8.079927770758275
0,0.0,61,0,0.2226598,3300.0,14,0,1,0,0.0,0,0,0,0,1,0,0,3300.0,734.77734,8.101980731853192
0,0.0,59,0,0.218854341,19167.0,13,0,2,0,0.0,0,0,0,0,1,0,0,19167.0,4194.781153947,9.860997500915175
0,0.151912549,36,0,0.266394467,12000.0,22,0,2,0,0.0,0,0,0,0,1,0,0,12000.0,3196.7336040000005,9.39274525863144
0,0.0,59,0,0.351699622,4500.0,12,0,1,0,0.0,0,0,0,0,1,0,0,4500.0,1582.648299,8.412054873292933
0,0.175727593,43,1,994.0,0.0,4,0,1,0,0.0,1,0,1,0,1,0,1,0.0,0.0,0.0
0,0.011498563,77,0,0.001998002,1000.0,1,0,0,0,0.0,0,0,0,0,0,0,0,1000.0,1.998002,6.90875477931522
0,0.0,48,0,0.517468688,4550.0,7,0,2,0,0.0,0,0,0,0,1,0,0,4550.0,2354.4825304,8.423102268016642
0,0.163037489,81,0,0.086482558,2751.0,7,0,0,0,1.0,0,0,0,1,0,0,0,1375.5,237.913517058,7.920083199053234
0,0.047311582,51,0,0.100920343,3150.0,5,0,0,0,0.0,0,0,0,0,0,0,0,3150.0,317.89908045,8.055475141757274
0,0.083880003,53,0,0.199647533,7943.0,8,0,1,0,0.0,0,0,0,0,1,0,0,7943.0,1585.800354619,8.980172205725008
0,0.089478348,56,0,1.065901518,2700.0,11,0,1,0,2.0,0,0,0,1,1,0,1,900.0,2877.9340986,7.901377353792616
0,0.773519223,63,0,1.129227053,4139.0,12,0,1,0,1.0,0,0,0,1,1,0,1,2069.5,4673.870772367,8.32845106681936
0,0.093962275,55,0,0.112051635,9450.0,6,0,2,0,0.0,0,0,0,0,1,0,0,9450.0,1058.88795075,9.153875834995056
0,0.21955042,54,0,0.315983758,5417.0,20,0,2,0,1.0,0,0,0,1,1,0,0,2708.5,1711.684017086,8.59748202264504
0,0.147996253,55,0,0.323088235,6799.0,5,0,1,0,0.0,0,0,0,0,1,0,0,6799.0,2196.676909765,8.824677891164198
0,0.576518559,72,0,3031.0,0.0,11,0,1,0,0.0,1,0,0,0,1,0,1,0.0,0.0,0.0
0,0.243872021,53,0,0.534027778,8639.0,22,0,2,0,3.0,0,0,0,1,1,0,0,2159.75,4613.465974142,9.0641578617981
0,0.362483818,27,0,567.0,0.0,4,0,0,0,0.0,1,0,0,0,0,0,1,0.0,0.0,0.0
0,0.116676791,31,0,0.343593791,3800.0,7,0,1,0,0.0,0,0,0,0,1,0,0,3800.0,1305.6564058,8.24301946898925
0,0.9999999,38,0,0.43369976,5821.0,7,0,1,0,4.0,0,0,0,1,1,0,0,1164.2,2524.56630296,8.669399124305569
0,0.496911825,40,0,0.452363811,12500.0,11,0,2,0,2.0,0,0,0,1,1,0,0,4166.666666666667,5654.5476375,9.433563920090563
0,0.130902106,48,1,0.427882174,3937.0,17,0,1,0,0.0,0,0,1,0,1,0,0,3937.0,1684.572119038,8.278428259199071
0,0.54699881,50,0,0.748071979,3500.0,9,0,2,0,3.0,0,0,0,1,1,0,0,875.0,2618.2519265,8.160803920954665
0,0.072277109,34,0,0.025911708,2083.0,2,0,0,0,0.0,0,0,0,0,0,0,0,2083.0,53.974087764,7.642044402873258
0,0.0,48,2,0.370876375,3000.0,14,0,1,0,5.0,0,0,2,1,1,0,0,500.0,1112.629125,8.006700845440367
0,0.175932019,57,1,0.655812625,3500.0,9,0,1,0,1.0,0,0,1,1,1,0,0,1750.0,2295.3441875000003,8.160803920954665
0,0.050789842,30,0,0.315171207,4000.0,4,0,1,0,1.0,0,0,0,1,1,0,0,2000.0,1260.684828,8.294299608857235
0,0.0,28,0,0.144616356,3166.0,7,0,0,0,0.0,0,0,0,0,0,0,0,3166.0,457.855383096,8.06054004653864
0,0.21286031,36,0,0.563752087,9583.0,10,0,2,0,1.0,0,0,0,1,1,0,0,4791.5,5402.436249721,9.16785032035523
0,0.012682366,60,0,0.412979783,6825.0,20,0,2,0,0.0,0,0,0,0,1,0,0,6825.0,2818.587018975,8.828494129466652
0,0.121557062,58,0,0.342971419,12000.0,23,0,2,0,4.0,0,0,0,1,1,0,0,2400.0,4115.657028,9.39274525863144
0,0.040795358,49,0,0.801999355,3100.0,11,0,1,0,0.0,0,0,0,0,1,0,0,3100.0,2486.1980005,8.03947991910045
0,0.147712223,40,0,0.034847816,6800.0,6,0,0,0,3.0,0,0,0,1,0,0,0,1700.0,236.9651488,8.824824939175638
0,0.0,63,0,2.0,20.493879521673502,4,0,0,0,0.0,1,1,0,0,0,0,1,20.493879521673502,40.987759043347005,3.0677682211959154
0,0.0,50,1,0.726566993,3477.0,5,0,1,0,1.0,0,0,1,1,1,0,0,1738.5,2526.273434661,8.154212694914229
0,0.070771911,38,0,2088.0,0.0,6,0,1,0,0.0,1,0,0,0,1,0,1,0.0,0.0,0.0
1,1.046279103,47,1,1.104301274,5416.0,6,0,2,0,1.0,0,0,1,1,1,1,1,2708.0,5980.895699984,8.597297435657898
0,0.323719804,63,0,0.610841267,5146.0,9,0,2,0,2.0,0,0,0,1,1,0,0,1715.3333333333333,3143.389159982,8.546169299652755
0,0.36459777,42,0,0.593899089,6916.0,7,0,3,0,0.0,0,0,0,0,1,0,0,6916.0,4107.406099524,8.841737428600585
0,0.637736406,54,2,3.382196162,1875.0,9,0,2,0,0.0,0,0,2,0,1,0,1,1875.0,6341.61780375,7.53689712956617
0,0.081379827,63,0,1268.0,0.0,8,0,1,0,0.0,1,0,0,0,1,0,1,0.0,0.0,0.0
0,0.020966389,29,0,639.5,1.0,3,0,1,0,2.0,0,0,0,1,1,0,1,0.3333333333333333,639.5,0.6931471805599453
0,0.170103002,36,0,0.138461538,7734.0,8,0,0,0,0.0,0,0,0,0,0,0,0,7734.0,1070.861534892,8.953510763007166
0,0.771845631,33,0,0.852429514,5000.0,7,0,3,0,0.0,0,0,0,0,1,0,0,5000.0,4262.14757,8.517393171418904
0,0.05538241,72,0,0.089091313,4500.0,4,0,0,0,0.0,0,0,0,0,0,0,0,4500.0,400.9109085,8.412054873292933
0,0.9999999,29,0,974.0,0.0,2,0,0,0,0.0,1,0,0,0,0,0,1,0.0,0.0,0.0
0,0.16653274,53,0,0.543625949,7506.0,11,0,3,0,3.0,0,0,0,1,1,0,0,1876.5,4080.456373194,8.923591197573002
0,0.008632035,79,0,0.365151154,4200.0,9,0,1,0,0.0,0,0,0,0,1,0,0,4200.0,1533.6348468,8.343077871169383
0,0.13527952,58,0,0.342005076,9455.0,11,0,2,0,2.0,0,0,0,1,1,0,0,3151.6666666666665,3233.65799358,9.15440473964588
0,0.167571389,69,0,0.330733853,5000.0,10,0,1,0,1.0,0,0,0,1,1,0,0,2500.0,1653.6692650000002,8.517393171418904
0,0.9999999,69,0,0.005319149,2255.0,0,1,0,0,3.0,0,0,1,1,0,0,0,563.75,11.994680995,7.721348612617949
0,0.068335151,75,0,0.010927876,10065.0,9,0,0,0,0.0,0,0,0,0,0,0,0,10065.0,109.98907194,9.216918687336303
0,0.0,41,0,0.907538526,2400.0,6,0,1,0,0.0,0,0,0,0,1,0,0,2400.0,2178.0924624,7.783640596221253
1,0.946963874,35,0,1593.0,0.0,6,0,1,0,1.0,1,0,0,1,1,0,1,0.0,0.0,0.0
0,0.405183973,46,0,0.667835346,7700.0,22,0,2,0,1.0,0,0,0,1,1,0,0,3850.0,5142.3321642,8.94910546953925
0,0.055549313,65,0,2177.0,0.0,6,0,1,0,1.0,1,0,0,1,1,0,1,0.0,0.0,0.0
0,0.676195456,55,0,0.436665827,3970.0,10,1,1,0,0.0,0,0,1,0,1,0,0,3970.0,1733.56333319,8.286773231131251
0,0.184986787,55,4,3144.0,0.0,11,0,1,0,0.0,1,0,4,0,1,0,1,0.0,0.0,0.0
1,0.085338293,51,0,0.477503628,6200.0,11,0,1,0,0.0,0,0,0,0,1,0,0,6200.0,2960.5224936,8.732465848349879
1,0.0,25,0,0.152896812,2916.0,3,0,0,1,0.0,0,0,1,0,0,0,0,2916.0,445.847103792,7.978310969867722
1,0.786485406,44,0,0.291709578,3883.0,7,2,0,2,1.0,0,0,4,1,0,0,0,1941.5,1132.708291374,8.264620829411216
0,0.0112096,86,0,13.0,0.0,3,0,0,0,0.0,1,0,0,0,0,0,1,0.0,0.0,0.0
0,0.03833451,56,0,0.438912218,5000.0,7,0,2,0,0.0,0,0,0,0,1,0,0,5000.0,2194.56109,8.517393171418904
0,0.714980139,55,0,0.47090194,15000.0,12,0,2,0,3.0,0,0,0,1,1,0,0,3750.0,7063.529100000001,9.61587214452889
0,0.043032042,64,0,0.332016389,6833.0,14,0,2,0,0.0,0,0,0,0,1,0,0,6833.0,2268.667986037,8.829665432675236
0,1.095083357,53,5,0.536703799,3500.0,7,1,1,2,0.0,0,0,8,0,1,1,0,3500.0,1878.4632965,8.160803920954665
0,0.0,49,0,2932.0,0.0,11,0,1,0,0.0,1,0,0,0,1,0,1,0.0,0.0,0.0
0,0.9999999,55,0,0.156259612,3250.0,5,0,0,0,4.0,0,0,0,1,0,0,0,650.0,507.843739,8.086717920303906
0,0.101430135,80,1,0.016196761,5000.0,9,0,0,0,0.0,0,0,1,0,0,0,0,5000.0,80.983805,8.517393171418904
1,0.025892469,38,0,74.5,1.0,13,0,0,0,2.0,0,0,0,1,0,0,1,0.3333333333333333,74.5,0.6931471805599453
0,0.762158561,44,4,0.224465502,21000.0,5,0,1,0,3.0,0,0,4,1,1,0,0,5250.0,4713.775542,9.952325334619427
0,0.231692268,40,0,0.119660709,3300.0,7,0,0,0,0.0,0,0,0,0,0,0,0,3300.0,394.8803397,8.101980731853192
0,0.114869499,35,0,103.0,0.0,6,0,0,0,0.0,1,0,0,0,0,0,1,0.0,0.0,0.0
0,0.035489848,69,0,0.308438695,3400.0,9,0,1,0,0.0,0,0,0,0,1,0,0,3400.0,1048.691563,8.131824785007195
